"","x"
"1","6162"
"2","5602"
"3","0160"
"4","0680"
"5","1602"
"6","3600"
"7","7560"
"8","7362"
"9","3480"
"10","1280"
"11","6840"
"12","6922"
"13","2700"
"14","1922"
"15","4120"
"16","6200"
"17","1520"
"18","1760"
"19","8872"
"20","5120"
"21","0520"
"22","3440"
"23","3840"
"24","4472"
"25","1620"
"26","4920"
"27","5360"
"28","6280"
"29","4520"
"30","6660"
"31","9000"
"32","7880"
"33","2082"
"34","8960"
"35","2670"
"36","1122"
"37","2162"
"38","3760"
"39","4240"
"40","6640"
"41","8280"
"42","1000"
"43","4992"
"44","9360"
"45","8560"
"46","1080"
"47","3280"
"48","2650"
"49","6442"
"50","7602"
"51","5082"
"52","7320"
"53","8080"
"54","1642"
"55","1692"
"56","6480"
