"","x"
"1","2020"
"2","8520"
"3","9280"
"4","8640"
"5","1260"
"6","2620"
"7","6020"
"8","4890"
"9","7620"
"10","5200"
"11","1890"
"12","3700"
"13","0580"
"14","2290"
"15","6690"
"16","2720"
"17","6340"
"18","9340"
"19","4080"
"20","2400"
"21","1010"
"22","2190"
"23","8600"
"24","0450"
"25","0500"
"26","1020"
"27","5990"
"28","6320"
"29","6740"
"30","0860"
"31","8360"
"32","1350"
"33","5800"
"34","1305"
"35","2335"
"36","7640"
"37","9140"
"38","1480"
"39","2320"
"40","1240"
"41","3580"
"42","3810"
"43","1950"
"44","8940"
"45","2975"
"46","2340"
"47","8050"
"48","3680"
"49","7442"
"50","4840"
"51","6360"
"52","0060"
"53","6520"
"54","4640"
"55","3620"
"56","8140"
