"","x"
"1","3362"
"2","3000"
"3","3240"
"4","6680"
"5","7240"
"6","5345"
"7","2200"
"8","1660"
"9","7840"
"10","4400"
"11","0120"
"12","1800"
"13","0220"
"14","1040"
"15","0960"
"16","6760"
"17","4940"
"18","5170"
"19","8160"
"20","2760"
"21","0040"
"22","6960"
"23","0200"
"24","7490"
"25","7040"
"26","7120"
"27","5240"
"28","2120"
"29","5960"
"30","2710"
"31","0600"
"32","3980"
"33","4900"
"34","3720"
"35","1540"
"36","5920"
"37","2840"
"38","2030"
"39","3660"
"40","3870"
"41","8400"
"42","0460"
"43","4000"
"44","2440"
"45","8680"
"46","2180"
"47","8000"
"48","6560"
"49","3320"
"50","7760"
"51","1960"
"52","6980"
"53","2040"
"54","3080"
"55","5880"
"56","2995"
